stage1,target_scam,thr_scam,calib_scam_fpr,topic_thr_fixed,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_exact
char_ng2,0.02,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng2,0.05,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng2,0.08,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng2,0.1,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng2,0.15,0.9986850023269653,0.14130434782608695,0.0695517510175705,0.8243243243243243,0.5980392156862745,0.08125,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9083094555873926,0.7709923664122137
char_ng2,0.2,0.9954004287719727,0.1956521739130435,0.0695517510175705,0.7755102040816326,0.7450980392156863,0.1375,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9196675900277007,0.7938931297709924
nochar_ng2,0.02,1.0,1.0,0.0695517510175705,0.8356164383561644,0.5980392156862745,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9096126255380201,0.7748091603053435
nochar_ng2,0.05,1.0,1.0,0.0695517510175705,0.8356164383561644,0.5980392156862745,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9096126255380201,0.7748091603053435
nochar_ng2,0.08,1.0,1.0,0.0695517510175705,0.8356164383561644,0.5980392156862745,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9096126255380201,0.7748091603053435
nochar_ng2,0.1,1.0,1.0,0.0695517510175705,0.8356164383561644,0.5980392156862745,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9096126255380201,0.7748091603053435
nochar_ng2,0.15,1.0,1.0,0.0695517510175705,0.8356164383561644,0.5980392156862745,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9096126255380201,0.7748091603053435
nochar_ng2,0.2,0.9990989565849304,0.1956521739130435,0.0695517510175705,0.8297872340425532,0.7647058823529411,0.1,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9303621169916435,0.8244274809160306
char_ng1,0.02,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng1,0.05,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng1,0.08,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng1,0.1,1.0,1.0,0.0695517510175705,0.8545454545454545,0.46078431372549017,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8924889543446246,0.7366412213740458
char_ng1,0.15,0.9986850023269653,0.14130434782608695,0.0695517510175705,0.84,0.6176470588235294,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9127324749642345,0.7824427480916031
char_ng1,0.2,0.9958112239837646,0.1956521739130435,0.0695517510175705,0.7708333333333334,0.7254901960784313,0.1375,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9166666666666667,0.7862595419847328
char_ng3,0.02,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng3,0.05,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng3,0.08,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng3,0.1,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng3,0.15,0.9986429810523987,0.14130434782608695,0.0695517510175705,0.8108108108108109,0.5882352941176471,0.0875,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9054441260744985,0.7633587786259542
char_ng3,0.2,0.9961855411529541,0.1956521739130435,0.0695517510175705,0.7849462365591398,0.7156862745098039,0.125,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9177126917712692,0.7900763358778626
char_ng2_lr03_e70,0.02,1.0,1.0,0.0695517510175705,0.84,0.4117647058823529,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.884272997032641,0.7175572519083969
char_ng2_lr03_e70,0.05,1.0,1.0,0.0695517510175705,0.84,0.4117647058823529,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.884272997032641,0.7175572519083969
char_ng2_lr03_e70,0.08,1.0,1.0,0.0695517510175705,0.84,0.4117647058823529,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.884272997032641,0.7175572519083969
char_ng2_lr03_e70,0.1,1.0,1.0,0.0695517510175705,0.84,0.4117647058823529,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.884272997032641,0.7175572519083969
char_ng2_lr03_e70,0.15,0.9980832934379578,0.14130434782608695,0.0695517510175705,0.8133333333333334,0.5980392156862745,0.0875,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9070100143061517,0.767175572519084
char_ng2_lr03_e70,0.2,0.9942797422409058,0.1956521739130435,0.0695517510175705,0.7653061224489796,0.7352941176470589,0.14375,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9168975069252078,0.7862595419847328
char_ng2_lr08_e30,0.02,1.0,1.0,0.0695517510175705,0.8490566037735849,0.4411764705882353,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8892171344165436,0.7290076335877863
char_ng2_lr08_e30,0.05,1.0,1.0,0.0695517510175705,0.8490566037735849,0.4411764705882353,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8892171344165436,0.7290076335877863
char_ng2_lr08_e30,0.08,1.0,1.0,0.0695517510175705,0.8490566037735849,0.4411764705882353,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8892171344165436,0.7290076335877863
char_ng2_lr08_e30,0.1,1.0,1.0,0.0695517510175705,0.8490566037735849,0.4411764705882353,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8892171344165436,0.7290076335877863
char_ng2_lr08_e30,0.15,0.9989112615585327,0.14130434782608695,0.0695517510175705,0.8428571428571429,0.5784313725490197,0.06875,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9077809798270894,0.7709923664122137
char_ng2_lr08_e30,0.2,0.9958112239837646,0.1956521739130435,0.0695517510175705,0.7872340425531915,0.7254901960784313,0.125,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9192200557103064,0.7938931297709924
char_ng2_dim50,0.02,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_dim50,0.05,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_dim50,0.08,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_dim50,0.1,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_dim50,0.15,0.9986850023269653,0.14130434782608695,0.0695517510175705,0.8194444444444444,0.5784313725490197,0.08125,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9051724137931033,0.7633587786259542
char_ng2_dim50,0.2,0.9949496984481812,0.1956521739130435,0.0695517510175705,0.77,0.7549019607843137,0.14375,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9198895027624309,0.7938931297709924
char_ng2_bucket500k,0.02,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_bucket500k,0.05,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_bucket500k,0.08,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_bucket500k,0.1,1.0,1.0,0.0695517510175705,0.8518518518518519,0.45098039215686275,0.05,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.8908554572271388,0.732824427480916
char_ng2_bucket500k,0.15,0.9984612464904785,0.14130434782608695,0.0695517510175705,0.8378378378378378,0.6078431372549019,0.075,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9111747851002866,0.7786259541984732
char_ng2_bucket500k,0.2,0.9958112239837646,0.1956521739130435,0.0695517510175705,0.78125,0.7352941176470589,0.13125,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9194444444444445,0.7938931297709924
